Job Title,Company,Salary,Experience,Location,Skills,Source
SysOps - Trading System IT Operations & Support (SQL),Maybank Investment Bank,Thỏa thuận,N/A,Ho Chi Minh,"IT Support, Database, IBM DB2, CI/CD, SQL, Docker",ITViec
Cyber Security Consultant,Capgemini Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Cybersecurity, Governance, Risk & Compliance",ITViec
SecOps Engineer,CÔNG TY TNHH NEXTEDGE,Thỏa thuận,N/A,Ho Chi Minh,"DevSecOps, Cloud Security, Information Security, Cybersecurity",ITViec
Senior Bridge Engineer - BrSE (Japanese N2+),"ANDPAD VietNam Co., Ltd",Thỏa thuận,N/A,Ho Chi Minh,"Bridge Engineer, Japanese, Project Management, QA QC",ITViec
Senior AI Engineer (Infrastructure Focus),Bitcoin Builders,Thỏa thuận,N/A,Ho Chi Minh,"PyTorch, Deep Learning, Machine Learning, AI, Docker",ITViec
Backend Technical Lead,TymeX,Thỏa thuận,N/A,Ho Chi Minh,"Java, Design Systems, Event-Driven Architecture, Microservices",ITViec
Security Architect / Senior Security Engineer,Prime Tech Solution,Thỏa thuận,N/A,Ho Chi Minh,"Cybersecurity, Zero Trust Architecture, Cryptography, Security",ITViec
Fullstack Dev - AI products,TecAlliance Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Fullstack, Cloud Security, NumPy, Pandas, AI, Python",ITViec
Cybersecurity Operations Manager - SOC Manager,AURIFY,Thỏa thuận,N/A,Ho Chi Minh,"Cybersecurity, DevSecOps, Vulnerability Management, Linux",ITViec
Jr/Mid/Sr Golang Software Engineer,Floating Cube Studios,Thỏa thuận,N/A,Ho Chi Minh,"Golang, ERP, Docker, Generative AI, English",ITViec
Mid/Sr Software Engineer-AI system (Java/Golang/Python),Floating Cube Studios,Thỏa thuận,N/A,Ho Chi Minh,"AI, Database, Golang, Java, Python",ITViec
[Global Market] Senior .NET Developer (Good English),RIKKEISOFT,Thỏa thuận,N/A,Ho Chi Minh,".NET, .Net Core, TypeScript, Microservices, API",ITViec
"DevOps Engineer (Card Way4, System Integration..)",FE CREDIT,Thỏa thuận,N/A,Ho Chi Minh,"DevOps, Database, CI/CD, AWS, Oracle, Java",ITViec
Principal AI/LLM Solution Engineer (Cloud Contract),"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,N/A,Ho Chi Minh,"AI, LLM, MLOps, Cloud, Python, Golang",ITViec
