Job Title,Company,Salary,Skills,Location
"Automation Tester (Java, Selenium)",CODE88 COMPANY LIMITED,Thỏa thuận,"Automation Test, Tester, QA QC, English, Selenium, Java",Ho Chi Minh
"Principal/Senior Hybrid QA QC (Manual, Automation)","MONEY FORWARD VIETNAM CO.,LTD",You'll love it,"QA QC, Playwright, Postman, API, Automation Test, Agile",Ho Chi Minh
Principal/Senior Golang Engineer,"MONEY FORWARD VIETNAM CO.,LTD",You'll love it,"Golang, CI/CD, PostgreSql, MySQL, AWS, English",Ho Chi Minh
Senior Application Security/ Threat Modelling,Dai-ichi Life Việt Nam,You'll love it,"Application Security, Microservices, API, DevSecOps",Ho Chi Minh
AI Builder Product Manager (Good English),Spartan Dev Inc,You'll love it,"Product Management, LLM, Data-driven, English, PRD, AI",Ho Chi Minh
(Lead/Senior) AI-Native Software Engineering,KMS Technology,You'll love it,"Software Architecture, LLM, English, AI",Ho Chi Minh
"Tech Lead (Java, React Native, AWS, English)",Pizza Hut Digital & Technology,You'll love it,"Fullstack, English, AWS, React Native, Java, Leadership",Ho Chi Minh
"Site Reliability Engineer (SRE, AWS, Azure, Cloud)",Pizza Hut Digital & Technology,You'll love it,"Incident Response, Cloud, DevSecOps, Terraform, English",Ho Chi Minh
Java Software Engineer,Pizza Hut Digital & Technology,You'll love it,"Java, Event-Driven Architecture, API, SQL, Spring Boot",Ho Chi Minh
"Bridge Engineer (BrSE/Project Manager, Japanese N2)",IVS,You'll love it,"Bridge Engineer, .NET, C#, Japanese, Project Management",Ho Chi Minh
"Junior iOS Mobile Developer (Swift, English)",Motorist Pte Ltd,Thỏa thuận,"iOS, API, Database, OOP, Swift, English",Ho Chi Minh
Senior Data Engineer (Data Platform),Vinamilk,You'll love it,"Data Engineer, Terraform, Kafka, AWS, Data Warehousing",Ho Chi Minh
Java (Spring) Backend Engineer (Middle/Senior),Floating Cube Studios,You'll love it,"Java, Spring Boot, OOP, Spring, AWS, SQL",Ho Chi Minh
Information Security & Cyber Resiliance Officer,AURIFY,Thỏa thuận,"Information Security, ISO 27001, Cloud Security, PCI DSS",Ho Chi Minh
Senior UI/UX Designer (Edtech),DOL English,You'll love it,"UI-UX, Design Systems, Adobe XD, Product Design, Figma",Ho Chi Minh
"Mid/Sr Mobile Apps Android Engineer (Java, Kotlin)",Floating Cube Studios,You'll love it,"Android, Java, Flutter, Mobile Apps, Kotlin",Ho Chi Minh
Technical Lead/Technical Architect,Droppii,You'll love it,"Leadership, Microservices Architecture, NodeJS, Python",Ho Chi Minh
"IT Support Helpdesk (Ms365, LAN/WAN, English required)",FOUR HANDS,You'll love it,"IT Support, Cloud, Security, English, Microsoft Dynamics 365",Ho Chi Minh
Mobile Technical Lead,TymeX,You'll love it,"Mobile Apps, English, Kotlin, Swift, Android, iOS",Ho Chi Minh
"Software Developer (.Net, Java) - Speaking Japanese",ISV Vietnam,You'll love it,"Java, C#, .NET",Ho Chi Minh
3D Environment Artist (Game / VR),CurlyBlue,You'll love it,"Design, Unity, 3ds Max, Maya, Blender, Games",Ho Chi Minh
3D Artist (Game / VR),CurlyBlue,You'll love it,"Games, Unity, 3ds Max, Blender",Ho Chi Minh
Java Developer (Senior/Middle),VNGGames,You'll love it,"Spring, Spring Boot, API, MySQL, CI/CD, Kafka",Ho Chi Minh
Scrum Master/ Scrum Coach,One Mount Group,You'll love it,"Scrum, Agile, Less, Jira, Project Management",Ho Chi Minh
Senior Automation Tester,Capgemini Vietnam,You'll love it,"Automation Test, Java",Ho Chi Minh
Senior/ Principal Android Engineer (Kotlin),"ANDPAD VietNam Co., Ltd",You'll love it,"Android, MVVM, Clean Architecture, Kotlin, AWS, English",Ho Chi Minh
Senior Engineer - Front End,what3words,Thỏa thuận,"TypeScript, ReactJS, NextJS, English",Ho Chi Minh
Senior/Principal iOS Native Engineer (Swift),"ANDPAD VietNam Co., Ltd",You'll love it,"iOS, MVVM, Clean Architecture, Swift, English, AWS",Ho Chi Minh
Staff Engineer - Backend,what3words,Thỏa thuận,"Java, LLM, FastAPI, Python",Ho Chi Minh
QC Engineers (Manual Tester - Junior/Middle Level),bbv Vietnam,You'll love it,"QA QC, Tester, SQL",Ho Chi Minh
"Mid/Senior Backend/Fullstack Java Engineer (Spring, AI)",Seven System Vietnam,You'll love it,"Java, MQTT, Kafka, Spring, AI, PostgreSql",Ho Chi Minh
Game Server Developer (C++),Công ty TNHH Công Nghệ Tamron Việt Nam,You'll love it,"C++, MySQL, Windows Server, Games, C language, SQL",Ho Chi Minh
CV Tư Vấn Giải Pháp/ Business Analyst (Banking/Fintech),SACOMBANK,You'll love it,"Business Analysis, API, Java, Microservices, Cloud, .NET",Ho Chi Minh
"Senior Fullstack Engineer (Angular, .NET)",S4BT Solutions for Business Travel.,You'll love it,"Fullstack, HTML, Angular, C#, .NET, SQL",Ho Chi Minh
UI/UX Designer (Senior),The One Digi Corp,Thỏa thuận,"Design, Visual Design, Illustrator, Design Systems, Figma",Ho Chi Minh
