Job Title,Company,Salary,Experience,Location,Skills,Source,Location_Clean_Fixed
Senior Application Security/ Threat Modelling,Dai-ichi Life Việt Nam,Thỏa thuận,,Ho Chi Minh,"Application Security, Microservices, API, DevSecOps",ITViec,Ho Chi Minh
AI Builder Product Manager (Good English),Spartan Dev Inc,Thỏa thuận,,Ho Chi Minh,"Product Management, LLM, Data-driven, English, PRD, AI",ITViec,Ho Chi Minh
(Lead/Senior) AI-Native Software Engineering,KMS Technology,Thỏa thuận,,Ho Chi Minh,"Software Architecture, LLM, English, AI",ITViec,Ho Chi Minh
"Tech Lead (Java, React Native, AWS, English)",Pizza Hut Digital & Technology,Thỏa thuận,,Ho Chi Minh,"Fullstack, English, AWS, React Native, Java, Leadership",ITViec,Ho Chi Minh
"Site Reliability Engineer (SRE, AWS, Azure, Cloud)",Pizza Hut Digital & Technology,Thỏa thuận,,Ho Chi Minh,"Incident Response, Cloud, DevSecOps, Terraform, English",ITViec,Ho Chi Minh
Java Software Engineer,Pizza Hut Digital & Technology,Thỏa thuận,,Ho Chi Minh,"Java, Event-Driven Architecture, API, SQL, Spring Boot",ITViec,Ho Chi Minh
"Bridge Engineer (BrSE/Project Manager, Japanese N2)",IVS,Thỏa thuận,,Ho Chi Minh,"Bridge Engineer, .NET, C#, Japanese, Project Management",ITViec,Ho Chi Minh
"Junior iOS Mobile Developer (Swift, English)",Motorist Pte Ltd,Thỏa thuận,,Ho Chi Minh,"iOS, API, Database, OOP, Swift, English",ITViec,Ho Chi Minh
Senior Data Engineer (Data Platform),Vinamilk,Thỏa thuận,,Ho Chi Minh,"Data Engineer, Terraform, Kafka, AWS, Data Warehousing",ITViec,Ho Chi Minh
Java (Spring) Backend Engineer (Middle/Senior),Floating Cube Studios,Thỏa thuận,,Ho Chi Minh,"Java, Spring Boot, OOP, Spring, AWS, SQL",ITViec,Ho Chi Minh
Information Security & Cyber Resiliance Officer,AURIFY,Thỏa thuận,,Ho Chi Minh,"Information Security, ISO 27001, Cloud Security, PCI DSS",ITViec,Ho Chi Minh
Senior UI/UX Designer (Edtech),DOL English,Thỏa thuận,,Ho Chi Minh,"UI-UX, Design Systems, Adobe XD, Product Design, Figma",ITViec,Ho Chi Minh
"Mid/Sr Mobile Apps Android Engineer (Java, Kotlin)",Floating Cube Studios,Thỏa thuận,,Ho Chi Minh,"Android, Java, Flutter, Mobile Apps, Kotlin",ITViec,Ho Chi Minh
Technical Lead/Technical Architect,Droppii,Thỏa thuận,,Ho Chi Minh,"Leadership, Microservices Architecture, NodeJS, Python",ITViec,Ho Chi Minh
"IT Support Helpdesk (Ms365, LAN/WAN, English required)",FOUR HANDS,Thỏa thuận,,Ho Chi Minh,"IT Support, Cloud, Security, English, Microsoft Dynamics 365",ITViec,Ho Chi Minh
Mobile Technical Lead,TymeX,Thỏa thuận,,Ho Chi Minh,"Mobile Apps, English, Kotlin, Swift, Android, iOS",ITViec,Ho Chi Minh
"Software Developer (.Net, Java) - Speaking Japanese",ISV Vietnam,Thỏa thuận,,Ho Chi Minh,"Java, C#, .NET",ITViec,Ho Chi Minh
3D Environment Artist (Game / VR),CurlyBlue,Thỏa thuận,,Ho Chi Minh,"Design, Unity, 3ds Max, Maya, Blender, Games",ITViec,Ho Chi Minh
3D Artist (Game / VR),CurlyBlue,Thỏa thuận,,Ho Chi Minh,"Games, Unity, 3ds Max, Blender",ITViec,Ho Chi Minh
Java Developer (Senior/Middle),VNGGames,Thỏa thuận,,Ho Chi Minh,"Spring, Spring Boot, API, MySQL, CI/CD, Kafka",ITViec,Ho Chi Minh
Scrum Master/ Scrum Coach,One Mount Group,Thỏa thuận,,Ho Chi Minh,"Scrum, Agile, Less, Jira, Project Management",ITViec,Ho Chi Minh
Senior Automation Tester,Capgemini Vietnam,Thỏa thuận,,Ho Chi Minh,"Automation Test, Java",ITViec,Ho Chi Minh
Senior/ Principal Android Engineer (Kotlin),"ANDPAD VietNam Co., Ltd",Thỏa thuận,,Ho Chi Minh,"Android, MVVM, Clean Architecture, Kotlin, AWS, English",ITViec,Ho Chi Minh
Senior Engineer - Front End,what3words,Thỏa thuận,,Ho Chi Minh,"TypeScript, ReactJS, NextJS, English",ITViec,Ho Chi Minh
Senior/Principal iOS Native Engineer (Swift),"ANDPAD VietNam Co., Ltd",Thỏa thuận,,Ho Chi Minh,"iOS, MVVM, Clean Architecture, Swift, English, AWS",ITViec,Ho Chi Minh
Staff Engineer - Backend,what3words,Thỏa thuận,,Ho Chi Minh,"Java, LLM, FastAPI, Python",ITViec,Ho Chi Minh
QC Engineers (Manual Tester - Junior/Middle Level),bbv Vietnam,Thỏa thuận,,Ho Chi Minh,"QA QC, Tester, SQL",ITViec,Ho Chi Minh
"Mid/Senior Backend/Fullstack Java Engineer (Spring, AI)",Seven System Vietnam,Thỏa thuận,,Ho Chi Minh,"Java, MQTT, Kafka, Spring, AI, PostgreSql",ITViec,Ho Chi Minh
Game Server Developer (C++),Công ty TNHH Công Nghệ Tamron Việt Nam,Thỏa thuận,,Ho Chi Minh,"C++, MySQL, Windows Server, Games, C language, SQL",ITViec,Ho Chi Minh
CV Tư Vấn Giải Pháp/ Business Analyst (Banking/Fintech),SACOMBANK,Thỏa thuận,,Ho Chi Minh,"Business Analysis, API, Java, Microservices, Cloud, .NET",ITViec,Ho Chi Minh
"Senior Fullstack Engineer (Angular, .NET)",S4BT Solutions for Business Travel.,Thỏa thuận,,Ho Chi Minh,"Fullstack, HTML, Angular, C#, .NET, SQL",ITViec,Ho Chi Minh
UI/UX Designer (Senior),The One Digi Corp,Thỏa thuận,,Ho Chi Minh,"Design, Visual Design, Illustrator, Design Systems, Figma",ITViec,Ho Chi Minh
Global Microsoft Endpoint Engineer,Renesas Design Vietnam,Thỏa thuận,,Ho Chi Minh,"English, IT Support",ITViec,Ho Chi Minh
Mid/Senior IT Business Analyst (BA),Ahasoft,Thỏa thuận,,Ho Chi Minh,"Business Analysis, Stakeholder management, Figma, BRD",ITViec,Ho Chi Minh
Engineering Director (Open for Expat),"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,,Ho Chi Minh,"Project Management, Team Management, English",ITViec,Ho Chi Minh
"Senior .Net Developer(C#, ASP.NET Core, Azure)",Ahasoft,Thỏa thuận,,Ho Chi Minh,".NET, AI, VueJS, C#, Azure, ASP.NET",ITViec,Ho Chi Minh
Java Software Engineer,Home Credit Vietnam,Thỏa thuận,,Ho Chi Minh,"Java, Spring Boot",ITViec,Ho Chi Minh
Odoo Functional Consultant,Port Cities Vietnam,Thỏa thuận,,Ho Chi Minh,"Odoo, ERP, English",ITViec,Ho Chi Minh
Senior/Lead Python Engineer,CODE LEAP,Thỏa thuận,,Ho Chi Minh,"Django, Python, AWS",ITViec,Ho Chi Minh
Senior/Lead Data Engineer,Grab (Vietnam) Ltd.,Thỏa thuận,,Ho Chi Minh,"Python, AWS, Scala, Golang, Apache Spark",ITViec,Ho Chi Minh
Senior Security Engineer (Application Security),CodeLink,Thỏa thuận,,Ho Chi Minh,"Application Security, Vulnerability Management, DevSecOps",ITViec,Ho Chi Minh
"QA Automation Tester (Java, Javascript)",MiTek Vietnam,Thỏa thuận,,Ho Chi Minh,"Automation Test, Python, JavaScript, Robot Framework, Tester",ITViec,Ho Chi Minh
"Head of Engineering, Backend, Frontend, DevOps, .NET",TOPPION GROUP,Thỏa thuận,,Ho Chi Minh,"Team Management, DevOps, Docker, Microservices, .Net Core",ITViec,Ho Chi Minh
.NET Developer,Simpson Strong-Tie Vietnam,Thỏa thuận,,Ho Chi Minh,".NET, English, .Net Core, C#",ITViec,Ho Chi Minh
Senior Full-stack Developer (SAP Hybris),Simpson Strong-Tie Vietnam,Thỏa thuận,,Ho Chi Minh,"Java, Microservices, ReactJS, Spring Boot, SAP",ITViec,Ho Chi Minh
AI Engineer,Dirox,Thỏa thuận,,Ho Chi Minh,"AI, Python, Docker, LLM, Generative AI",ITViec,Ho Chi Minh
Game Client Developer (Cocos Creator/Unity/C#),RGP Software Processing,Thỏa thuận,,Ho Chi Minh,"Games, Spin, Cocos Creator, Cocos2d-x, C#, Unity",ITViec,Ho Chi Minh
Backend Developer (Java/ WebSocket/ Redis/ Kafka),RGP Software Processing,Thỏa thuận,,Ho Chi Minh,"Java, Redis, MySQL, Kafka, Spring",ITViec,Ho Chi Minh
Mid/Sr Java Developer (English Required) - Up to 3200$,"Rakuten Fintech Vietnam Co., Ltd.",Thỏa thuận,,Ho Chi Minh,"Java, Unit test, Spring Boot, Spring, SQL, English",ITViec,Ho Chi Minh
"AI Developer (Python, C#, Git, JavaScript, Azure)",SAVILLS VIETNAM,Thỏa thuận,,Ho Chi Minh,"AI, Azure, JavaScript, Git, C#, Python",ITViec,Ho Chi Minh
"Senior Fullstack Developer (ReactJS, NodeJS)",Template.net,Thỏa thuận,,Ho Chi Minh,"JavaScript, Product Management, Generative AI, NodeJS",ITViec,Ho Chi Minh
Senior Machine Learning Engineer (Open for Team Lead),Home Credit Vietnam,Thỏa thuận,,Ho Chi Minh,"Machine Learning, English, NLP, LLM, Python",ITViec,Ho Chi Minh
"Junior Power Platform Dev(UI/UX, .NET)(Strong English)",Wilmar CLV (Cambodia Laos Vietnam),Thỏa thuận,,Ho Chi Minh,"UI-UX, HTML, JavaScript, ASP.NET, C#, .NET",ITViec,Ho Chi Minh
".NET Developer (C#, ASP.NET,...)(strong English)",Wilmar CLV (Cambodia Laos Vietnam),Thỏa thuận,,Ho Chi Minh,".NET, API, SQL, MVC, ASP.NET, C#",ITViec,Ho Chi Minh
Technical Project Manager (English),Terralogic,Thỏa thuận,,Ho Chi Minh,"Team Management, Stakeholder management, Product Management",ITViec,Ho Chi Minh
Senior Backend Engineer (Nodejs),FireGroup,Thỏa thuận,,Ho Chi Minh,"NodeJS, Redis, MongoDB, PostgreSql, MySQL, OOP",ITViec,Ho Chi Minh
Senior Golang Developer,CÔNG TY TNHH FINAN,Thỏa thuận,,Ho Chi Minh,"Golang, Redis, PostgreSql, Microservices, Kubernetes",ITViec,Ho Chi Minh
Senior QA/QC Engineer,CÔNG TY TNHH FINAN,Thỏa thuận,,Ho Chi Minh,"QA QC, Selenium, Python, Java, Postman",ITViec,Ho Chi Minh
Data Engineer (Middle),CÔNG TY TNHH FINAN,Thỏa thuận,,Ho Chi Minh,"Python, MongoDB, PostgreSql, AI, SQL",ITViec,Ho Chi Minh
Senior Java AI Backend Engineer (English),HRS Group,Thỏa thuận,,Ho Chi Minh,"Java, English, AWS, Python, AI",ITViec,Ho Chi Minh
"(Senior) Mobile Developer (iOS, Android)",GFT Technologies Vietnam,Thỏa thuận,,Ho Chi Minh,"iOS, Java, Swift, Kotlin, Android, English",ITViec,Ho Chi Minh
