Job Title,Company,Salary,Skills,Location
Mid/Senior Quality Control/Manual Tester (QA QC),N/A,Thỏa thuận,,Ho Chi Minh
"10 Mid/Senior Java Backend Developer (Spring, AI, SQL)",N/A,Thỏa thuận,,Ho Chi Minh
Senior Data Engineer (Fintech/Financial),N/A,Thỏa thuận,,Ho Chi Minh
ETL/ Data Engineer,N/A,Thỏa thuận,,Ho Chi Minh
Penetration Tester,N/A,Thỏa thuận,,Ho Chi Minh
"DevOps Engineer( Cloud, K8S, DevSecOps)",N/A,Thỏa thuận,,Ho Chi Minh
Tech Lead (Golang/Python/Java),N/A,Thỏa thuận,,Ho Chi Minh
IT Web Resource (Shopify),N/A,Thỏa thuận,,Ho Chi Minh
"Middle Odoo Developer (Python, JavaScript)",N/A,Thỏa thuận,,Ho Chi Minh
Business Analyst (SQL),N/A,Thỏa thuận,,Ho Chi Minh
"Backend Developer (C#, .NET, Node.js, JavaScript, GIT)",N/A,Thỏa thuận,,Ho Chi Minh
Lập Trình Viên Frontend,N/A,Thỏa thuận,,Ho Chi Minh
Unity Developer (Core Team – Build Long-Term IP),N/A,Thỏa thuận,,Ho Chi Minh
2D Artist/ UI-UX Designer (Game Mobile – Casual/Hybrid),N/A,Thỏa thuận,,Ho Chi Minh
"AI Engineer (Python, C++, Tensorflow, Keras Pytorch)",N/A,Thỏa thuận,,Ho Chi Minh
Chuyên viên Bảo mật và tuân thủ ATTT,N/A,Thỏa thuận,,Ho Chi Minh
Kỹ Sư Thiết Kế Phần Mềm Nhúng (C/C++),N/A,Thỏa thuận,,Ho Chi Minh
"IT Manager (Networking, System Admin, ERP)",N/A,Thỏa thuận,,Ho Chi Minh
"Shopify Developer (HTML, Java)",N/A,Thỏa thuận,,Ho Chi Minh
"Software Developer (NodeJS, Python, ReactJS, NextJS)",N/A,Thỏa thuận,,Ho Chi Minh
"IT System Specialist (Security, Java, C#)",N/A,Thỏa thuận,,Ho Chi Minh
IT Comtor / Business Analyst (BrSE),N/A,Thỏa thuận,,Ho Chi Minh
Middle/Senior Ruby Backend Developer (Ruby On Rails),N/A,Thỏa thuận,,Ho Chi Minh
"Web Developer (C#, SQL) ~ Japanese N3",N/A,Thỏa thuận,,Ho Chi Minh
Business Analyst,N/A,Thỏa thuận,,Ho Chi Minh
"Solution Architect (Spring Boot/.NET, Microservices)",N/A,Thỏa thuận,,Ho Chi Minh
Senior UX/UI Designer,N/A,Thỏa thuận,,Ho Chi Minh
Senior Manager – Software Developement,N/A,Thỏa thuận,,Ho Chi Minh
"[Remote/Hybrid] Senior Frontend (ReactJS, English)",N/A,Thỏa thuận,,Ho Chi Minh
Java Developer / Trên 3 năm KN / PV 1 vòng /~45M Gross,N/A,Thỏa thuận,,Ho Chi Minh
Data Protection & Governance Specialist (Database),N/A,Thỏa thuận,,Ho Chi Minh
CVCC Quản trị mạng và An ninh thông tin,N/A,Thỏa thuận,,Ho Chi Minh
Middle/Senior Software Engineer (Java),N/A,Thỏa thuận,,Ho Chi Minh
Chuyên viên an ninh mạng,N/A,Thỏa thuận,,Ho Chi Minh
Frontend Lowcode Developer,N/A,Thỏa thuận,,Ho Chi Minh
Backend (Python) Developer,N/A,Thỏa thuận,,Ho Chi Minh
Quality Assurance (Middle),N/A,Thỏa thuận,,Ho Chi Minh
Senior QA Engineer (Automation Test/Agile/Scrum/SQL),N/A,Thỏa thuận,,Ho Chi Minh
Lumera - Quality Assurance Engineer,N/A,Thỏa thuận,,Ho Chi Minh
AI Engineer (Python),N/A,Thỏa thuận,,Ho Chi Minh
"Implementation Engineer (JavaScript, API, Integration)",N/A,Thỏa thuận,,Ho Chi Minh
Ruby on Rails Developer,N/A,Thỏa thuận,,Ho Chi Minh
Magento Frontend Developer,N/A,Thỏa thuận,,Ho Chi Minh
"UI/UX Designer (Figma, Prototyping, Design Systems)",N/A,Thỏa thuận,,Ho Chi Minh
"Product Owner (Blockchain, AI)",N/A,Thỏa thuận,,Ho Chi Minh
"Product Designer (UI-UX, Figma, Photoshop)",N/A,Thỏa thuận,,Ho Chi Minh
Chuyên viên Kiểm thử phần mềm - Manual Tester,N/A,Thỏa thuận,,Ho Chi Minh
"Senior Software Engineering (Java, .NET, SQL, Agile)",N/A,Thỏa thuận,,Ho Chi Minh
Mid/Senior Product Analyst (prefer IT BA background),N/A,Thỏa thuận,,Ho Chi Minh
