Job Title,Company,Salary,Experience,City,Skills
Graphic Design Mảng Mobile Game/App,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,Thỏa thuận,2 năm,Hà Nội,IT - Phầ...
Chuyên Viên Thiết Kế Đồ Họa (Graphic Designer),CÔNG TY CỔ PHẦN THỰC PHẨM VÀ ĐỒ UỐNG BARETT,Thỏa thuận,2 năm,Hà Nội,Bán lẻ -...
Nhân Viên Kinh Doanh ( Thiết Bị CNTT Và Phần Mềm),CÔNG TY CỔ PHẦN THIẾT BỊ VÀ PHÁT TRIỂN CÔNG NGHỆ TRỌNG ĐIỂM,Thỏa thuận,1 năm,Hà Nội,"B2B, C..."
Nhân Viên Telesales,CÔNG TY CỔ PHẦN DỮ LIỆU TOÀN CẦU,Thỏa thuận,3 năm,Hà Nội,Telesale...
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY TNHH MINDEE,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Tuổi 20 ...
Kỹ Sư Tự Động Hoá (Thiết Kế Điện & Lập Trình PLC),CÔNG TY CỔ PHẦN CÔNG NGHỆ KỸ THUẬT ĐIỆN TỰ ĐỘNG HÓA H&A,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Khô..., Vẽ kỹ thuật"
Kỹ Sư Lập Trình PLC - Servo - Robot,CÔNG TY TNHH KỸ THUẬT VÔ CỰC,Thỏa thuận,1 năm,Hà Nội,Tiế...
Trưởng Nhóm Thiết Kế,CÔNG TY CỔ PHẦN QUỐC TẾ NAM THÀNH,Thỏa thuận,3 năm,Hà Nội,Cao Đẳn...
Nhân Viên Kinh Doanh Phần Mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ GIẢI PHÁP TRỰC TUYẾN TOÀN CẦU,Thỏa thuận,2 năm,Hà Nội,"B2C, B2B"
Nhân Viên Thiết Kế,CÔNG TY TNHH QUẢNG CÁO - TƯ VẤN - TỔ CHỨC BIỂU DIỄN KHÁNH THI,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thiết kế...
Solution Architect,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,Thỏa thuận,3 năm,Hà Nội,"An ninh mạng, IT - Phần ..."
Chuyên Viên Thiết Kế Đồ Họa Xây Dựng & Nội Thất,CÔNG TY TNHH LATA HOLDINGS,Thỏa thuận,1 năm,Hà Nội,Thiết kế...
Chuyên Viên Thiết Kế (FULL-TIME),CÔNG TY TNHH N2K AGENCY,Thỏa thuận,2 năm,Hà Nội,Thiết kế...
Chuyên Viên Designer,CÔNG TY TNHH TÂN PHÁT GROUP,Thỏa thuận,2 năm,Hà Nội,Marketin...
Nhân Viên SALE ONLINE Máy Tính,CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN CÔNG NGHỆ SPEED,Thỏa thuận,1 năm,Hà Nội,
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN ĐẦU TƯ EHOLDINGS,Thỏa thuận,1 năm,Hà Nội,1 năm ki...
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN HUPUNA GROUP,Thỏa thuận,Dưới 1 năm,Hà Nội,Thiết kế...
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN HUPUNA GROUP,Thỏa thuận,Dưới 1 năm,Hà Nội,Thiết kế...
Graphic Designer,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ BẤT ĐỘNG SẢN EMPIRE,Thỏa thuận,2 năm,Hồ Chí Minh (mới),2 năm ki...
Nhân Viên Kinh Doanh,CÔNG TY CỔ PHẦN EMSO VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Online Sales, Có ..., B2B, B2C"
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY TNHH NHA KHOA BE (BEDENTAL CLINIC),Thỏa thuận,2 năm,Hà Nội,Chăm sóc...
Nhân Viên Designer - Graphic Designer POD,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ X-COM,Thỏa thuận,Dưới 1 năm,Hà Nội,Dưới 1 n...
Graphic Design,CÔNG TY CỔ PHẦN MD BEAUTY,Thỏa thuận,1 năm,Hà Nội,1 năm ki...
Presales Lead,CÔNG TY CỔ PHẦN TẬP ĐOÀN IDC,Thỏa thuận,3 năm,Hà Nội,"Đại Học tr..., IT Consultant"
Thực Tập Sinh Thiết Kế,CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,Thỏa thuận,Dưới 1 năm,Hà Nội,Thiết kế...
Data Architect,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,Trên 5 năm,Hồ Chí Minh (mới),"An ninh mạng, IT - Phần ..."
Solution Architect,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,3 năm,Hà Nội,"An ninh mạng, IT - Phần ..."
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN BADAN,Thỏa thuận,2 năm,Hà Nội,
Chuyên Viên Thiết Kế - Graphic Designer,"Pro
CÔNG TY TNHH THƯƠNG MẠI VHC",Thỏa thuận,1 năm,Hà Nội,Bán lẻ -...
Product Manager,CÔNG TY CỔ PHẦN TẬP ĐOÀN IDC,Thỏa thuận,3 năm,Hà Nội,3 năm kinh ...
Designer POD,CÔNG TY TNHH THƯƠNG MẠI HBL MEDIA,Thỏa thuận,Dưới 1 năm,Đà Nẵng (mới),Mỹ thuật...
Chuyên Viên Thiết Kế,CÔNG TY TNHH VÀNG BẠC ĐÁ QUÝ NGỌC THẨM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Thiết kế...
Nhân Viên Thiết Kế Đồ Họa Mảng Thời Trang,CÔNG TY CỔ PHẦN TƠ VÀNG VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,May mặc ...
Nhân Viên Kinh Doanh,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),Direct S...
Trưởng Phòng Giải Pháp CNTT,CÔNG TY CỔ PHẦN ECOIT,Thỏa thuận,4 năm,Hà Nội,4 năm...
Chuyên Viên Điều Phối Kinh Doanh - Sale Admin,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,Thỏa thuận,Không yêu cầu,Thỏa thuận,"B2G, Tài chính, Ngâ..., B2C, B2B"
Nhân Viên Kinh Doanh,CÔNG TY TNHH CÔNG NGHỆ VNSO,Thỏa thuận,2 năm,Hà Nội,"B2C, IT..., B2B"
Chuyên Gia Chuyển Đổi Số Doanh Nghiệp Lark Suite,CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM TRỰC TUYẾN VIỆT NAM,Thỏa thuận,Dưới 1 năm,Hải Phòng (mới),"Online Sales, IT - P..., B2B"
2D Animation/VFX,CÔNG TY CỔ PHẦN HIGAME,Thỏa thuận,1 năm,Hà Nội,Nghỉ thứ 7
Chuyên Gia Thiết Kế Và Sáng Tạo - Popplife - 2V053,TẬP ĐOÀN ROX (ROX GROUP),Thỏa thuận,5 năm,Hà Nội,5 năm ki...
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN GIẢI PHÁP MKT,Thỏa thuận,2 năm,Hà Nội,Marketin...
Sales IT Outsourcing,CÔNG TY CỔ PHẦN TECHLEAD,Thỏa thuận,1 năm,Hà Nội,"Đ..., B2B"
Nhân Viên Sales Dịch Vụ Website,CÔNG TY CỔ PHẦN TIẾP THỊ THỊNH PHÁT,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),"Telesales, Direct Sales"
Nhân Viên Tư Vấn Website,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MIMA,Thỏa thuận,Không yêu cầu,Thỏa thuận,B2B
Sales Phần Mềm (Mảng Giáo Dục - Đào Tạo),CÔNG TY CỔ PHẦN SALEMALL,Thỏa thuận,1 năm,Hà Nội,"B2B, C..."
Nhân Viên Thiết Kế,CÔNG TY TNHH BABEENI VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,May mặc ...
Nhân Viên 2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ TAAP VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Illustration, Game, Nghỉ thứ 7"
Sales Executive,CÔNG TY TNHH SELLNITY,Thỏa thuận,1 năm,Đà Nẵng (mới) & Hà Nội,B2B
Chuyên Gia Quản Lý Yêu Cầu (ITDM) - HO - 2V055,TẬP ĐOÀN ROX (ROX GROUP),Thỏa thuận,5 năm,Hà Nội,5 năm...
Sales IT Executive,CÔNG TY CỔ PHẦN KAOPIZ SOFTWARE,Thỏa thuận,3 năm,Hà Nội,"Online Sales, Nghỉ ..., B2B"
Nhân Viên Tư Vấn Website,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),Direct S...
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SIIN GROUP,Thỏa thuận,Dưới 1 năm,Hà Nội,Marketin...
Nhân Viên Thiết Kế (Print On Demand),CÔNG TY TNHH DỊCH VỤ SECOM,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),Thương m...
Test Engineer - Banking,CÔNG TY TNHH NOVABYTE SOFTWARE,Thỏa thuận,1 năm,Hà Nội,"B2C, 1 năm ki..., Nghỉ thứ 7"
Designer,CÔNG TY TNHH ĐẦU TƯ CÔNG NGHỆ GIA MINH,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...
Chuyên Viên Thiết Kế,CÔNG TY TNHH NHỰA CƠ KHÍ VÀ THƯƠNG MẠI CHẤN THUẬN THÀNH,Thỏa thuận,1 năm,Hồ Chí Minh (mới),May mặc ...
Nhân Viên Kinh Doanh B2B,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VÀ CHUYỂN GIAO CÔNG NGHỆ VINA,Thỏa thuận,1 năm,Hà Nội,"Tuổi 24 ..., Nghỉ thứ 7, B2B"
Chuyên Viên Kinh Doanh Phần Mềm ( Thứ 2 - Thứ 6 ),CÔNG TY CP TIN HỌC LẠC VIỆT,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"IT - P..., Direct Sales, B2B"
Sales Phần Mềm (Kinh Nghiệm Từ 1 Năm),CÔNG TY CỔ PHẦN ĐÀO TẠO TRỰC TUYẾN UNICA,Thỏa thuận,1 năm,Hà Nội,"B2C, B2B"
Nhân Viên Phát Triển Sản Phẩm Fintech,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VÀ CHUYỂN GIAO CÔNG NGHỆ VINA,Thỏa thuận,1 năm,Hà Nội,Ngân ...
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN LIBERICO,Thỏa thuận,1 năm,Hà Nội,Bán lẻ -...
Nhân Viên Media - Thiết Kế Đồ Họa,CÔNG TY CP ASATEK,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...
Tư Vấn Giải Pháp Công Nghệ Thông Tin (Presale),CÔNG TY CỔ PHẦN CÔNG NGHỆ DTG,Thỏa thuận,1 năm,Hồ Chí Minh (mới),IT - ...
Nhân Viên Thiết Kế Kiêm Edit Video,CÔNG TY CỔ PHẦN PHÂN PHỐI VÀ BÁN LẺ BT,Thỏa thuận,1 năm,Hà Nội,Bán lẻ -...
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TÂN NÔNG PHÁT,Thỏa thuận,2 năm,Hồ Chí Minh (mới),2 năm ki...
Graphic Designer Intern,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SIIN GROUP,Thỏa thuận,Không yêu cầu,Thỏa thuận,Marketin...
Nhân Viên Thiết Kế Design,CÔNG TY TNHH DVTM HOÀNG BÌNH,Thỏa thuận,1 năm,Hà Nội,1 nă...
Nhân Viên Thiết Kế Đồ Họa (Thời Trang),CÔNG TY CỔ PHẦN TẬP ĐOÀN THỜI TRANG MELYA.VN,Thỏa thuận,2 năm,Hà Nội,May mặc ...
Developer Staff,CÔNG TY TRÁCH NHIỆM HỮU HẠN UNIPAX,Thỏa thuận,1 năm,Đồng Nai (mới),Market...
Kỹ Sư Lập Trình Tự Động Hóa,CÔNG TY TNHH BASIC INTERNATIONAL VIỆT NAM,Thỏa thuận,1 năm,Thanh Hóa,Tuổ...
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY TNHH BASIC INTERNATIONAL VIỆT NAM,Thỏa thuận,Dưới 1 năm,Thanh Hóa,Thiết kế...
Sales Sản Phẩm Công Nghệ - 3 Tháng Kinh Nghiệm,CÔNG TY CỔ PHẦN GENLOGIN SOFTWARE,Thỏa thuận,Dưới 1 năm,Hà Nội,"B2C, B2B"
Nhân Viên Thiết Kế/Designer (Phòng Khám),CÔNG TY TNHH TRUYỀN THÔNG MEDIA POWER,Thỏa thuận,1 năm,Hà Nội,Marketin...
Trưởng Nhóm Thiết Kế - Design Leader,CÔNG TY TNHH MEME 3D,Thỏa thuận,5 năm,Hồ Chí Minh (mới),Marketin...
Giảng Viên Cơ Hữu Ngành Công Nghệ Thông Tin,TRƯỜNG ĐẠI HỌC NGUYỄN TRÃI,Thỏa thuận,1 năm,Hà Nội,IT - Phầ...
Nhân Viên Lập Trình CAD/CAM,CÔNG TY TNHH THÉP ĐẶC BIỆT YAMAICHI VIỆT NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),T...
Lập Trình & Vận Hành Phay CNC,"Pro
CÔNG TY CỔ PHẦN NHỰA THIẾU NIÊN TIỀN PHONG",Thỏa thuận,2 năm,Hải Phòng (mới),Thợ phay
System Presales,"Pro
FPT IS",Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Video Editor (Mobile App),CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ PROXGLOBAL,Thỏa thuận,1 năm,Hà Nội,
3D Artist (Chuyên Blender),CÔNG TY CỔ PHẦN TRUYỀN THÔNG GODA,Thỏa thuận,1 năm,Hà Nội,
Nhân Viên Thiết Kế,CÔNG TY CỔ PHÂN CÔNG NGHỆ SINH HỌC LACIANA,Thỏa thuận,1 năm,Hà Nội,1 năm ki...
Nhân Viên Thiết Kế - Graphic Designer,CÔNG TY CP TIM CORP,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thiết kế...
Solution Architect,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Nhân Viên Graphic Designer,CÔNG TY CỔ PHẦN RYO MELLO,Thỏa thuận,1 năm,Hà Nội,Thiết kế...
"Kỹ Sư Thiết Kế, Lập Trình CNC",CÔNG TY TNHH VẬT TƯ NGÀNH NƯỚC PHÚ THỊNH,Thỏa thuận,3 năm,Bắc Ninh (mới),Cao ...
Nhân Viên Thiết Kế POD (Print On Demand),CÔNG TY TNHH ZTM GLOBAL,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),Thương m...
Thiết Kế Đồ Họa Thương Mại Điện Tử,CÔNG TY TNHH SHINE WIN TRADING VIỆT NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),May mặc ...
Chuyên Viên Media (Video & Thiết Kế),CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN BẤT ĐỘNG SẢN SPARTA,Thỏa thuận,Không yêu cầu,Thỏa thuận,Bất động...
Nhân Viên Lập Trình PLC,KOVIFA VINA COMPANY LIMITED,Thỏa thuận,2 năm,Bắc Ninh (mới),
Nhân Viên Kinh Doanh Giải Pháp Cloud & Workspace,CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM TRỰC TUYẾN VIỆT NAM,Thỏa thuận,2 năm,Hải Phòng (mới),"Online Sales, IT ..., B2B"
Chuyên Viên Thiết Kế,CÔNG TY TNHH REJUVASKIN VIỆT NAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),
Automation QA Lead,CÔNG TY TNHH NOVABYTE SOFTWARE,Thỏa thuận,Trên 5 năm,Hà Nội,"B2C, Trên 5 n..., Nghỉ thứ 7"
Nhân Viên Booking KOL/KOC,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TOPMAX,Thỏa thuận,1 năm,Hà Nội,"Illustration, Tuổi 22 - 30"
Senior JAVA Developer (5 Năm Kinh Nghiệm),CÔNG TY CỔ PHẦN BUCA,Thỏa thuận,5 năm,Hà Nội,"IT - Phần..., IT - Phần mềm"
Chuyên Viên Kinh Doanh - Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"B2C, B2..., B2B"
Senior Designer (Yêu Cầu Kinh Nghiệm Thiết Kế BĐS Trên 2 Năm),CÔNG TY TNHH TRUYỀN THÔNG UREKA VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,Marketin...
Sales Development Representative,CÔNG TY TNHH DOLFIE TECHNOLOGY VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,"Telesales, Online Sa..."
Nhân Viên Kinh Doanh Phần Mềm,CÔNG TY CỔ PHẦN PARONY,Thỏa thuận,Không yêu cầu,Thỏa thuận,"B2C, Tu..., B2B, IT - Phần mềm"
Digital Team Supervisor - IT Solution Department,"Pro
CÔNG TY TNHH YAMAHA MOTOR VIỆT NAM",Thỏa thuận,3 năm,Hà Nội,"T..., Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Kinh Doanh,CÔNG TY TNHH VINAHOST,Thỏa thuận,1 năm,Hồ Chí Minh (mới) & Hà Nội,Direct S...
Chuyên Viên Video Editor (Animation),CÔNG TY CỔ PHẦN ĐẦU TƯ GIÁO DỤC VÀ PHÁT TRIỂN CÔNG NGHỆ QUỐC TẾ LANGMASTER,Thỏa thuận,Dưới 1 năm,Hà Nội,Từ ...
Nhân Viên Kinh Doanh Giải Pháp Công Nghệ ERP,360 CORP,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Telesales, Direct Sales"
Nhân Viên Hỗ Trợ Kinh Doanh (Tiếng Nhật),CÔNG TY CỔ PHẦN CÔNG NGHỆ PHẦN MỀM TINH VÂN,Thỏa thuận,1 năm,Hà Nội,"Online Sa..., Direct Sales"
Sale B2B (Travel),CÔNG TY CỔ PHẦN ĐẦU TƯ ROVI HOLDINGS,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Công nghệ k..., B2B"
Kỹ Sư Quản Lý Chất Lượng Dịch Vụ,"Pro
VIETTEL DIGITAL",Thỏa thuận,1 năm,Hà Nội,"Tài chính, QA Engineer, Nghỉ th..., IT - Phần mềm"
Nhân Viên Graphic Design- Kinh Nghiệm Từ 1 Năm,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU THÀNH GIA PHÁT,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...
Trưởng Phòng Tín Dụng Số,"Pro
VIETTEL DIGITAL",Thỏa thuận,5 năm,Hà Nội,IT - Phần m...
Kỹ Thuật Viên Triển Khai Hệ Thống Camera,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG MQ,Thỏa thuận,1 năm,Hà Nội,
Nhân Viên Kỹ Thuật Cơ Khí,CÔNG TY TNHH ĐẦU TƯ & PHÁT TRIỂN NAM TRIỀU,Thỏa thuận,Dưới 1 năm,Hà Nội,Sản xuất
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN TẬP ĐOÀN VITECH,Thỏa thuận,1 năm,Hà Nội,Marketin...
Chuyên Viên Vận Hành Công Nghệ (NOC) - Mảng Truyền Hình,CÔNG TY CỔ PHẦN VIỄN THÔNG ASIM,Thỏa thuận,2 năm,Hà Nội,Phát ...
SAP Project Manager,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"Nghỉ thứ ..., IT - Phần mềm"
Backend / Integration Developer,CÔNG TY TNHH NOVABYTE SOFTWARE,Thỏa thuận,4 năm,Hà Nội,"B2C, 4 năm ki..., Nghỉ thứ 7"
Nhân Viên Thiết Kế Đồ Họa,TRƯỜNG THCS & THPT NGUYỄN SIÊU,Thỏa thuận,2 năm,Hà Nội,Giáo dục...
Network & Security Engineer,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG GTEL,Thỏa thuận,3 năm,Hà Nội,IT - ...
DevOps Engineer,"Pro
FPT IS",Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Nhân Viên Thiết Kế - Graphic Designer,EDUPIA,Thỏa thuận,2 năm,Hà Nội,2 năm ki...
CTV Artist,"CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH (FTECH CO., LTD)",Thỏa thuận,1 năm,Hà Nội,1 năm ki...
Graphic Designer (Senior),CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ M1 VIỆT NAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Thiết kế...
Design Leader - Từ 2 Năm Kinh Nghiệm,CÔNG TY CỔ PHẦN HAP MEDIA VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,Marketin...
Senior Designer,CÔNG TY CỔ PHẦN HAP MEDIA VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,Marketin...
Kỹ Sư Thiết Kế FPGA,"Pro
CÔNG TY TNHH MỘT THÀNH VIÊN TỔNG CÔNG TY SẢN XUẤT THIẾT BỊ VIETTEL",Thỏa thuận,2 năm,Hà Nội,Tiếng A...
Nhân Viên Thiết Kế 2D (Graphic Design),CÔNG TY TNHH EJ CREATIVE,Thỏa thuận,Dưới 1 năm,Hà Nội,Dưới 1 n...
Graphic Design,CÔNG TY CỔ PHẦN TCOM,Thỏa thuận,2 năm,Hà Nội,Thiết kế...
Chuyên Viên Design Graphic,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI QUỐC TẾ THANH HÀ,Thỏa thuận,2 năm,Hà Nội,Thiết kế...
Graphic Design,CÔNG TY CỔ PHẦN TCOM,Thỏa thuận,2 năm,Hà Nội,Thiết kế...
Nhân Viên Vận Hành Máy In Digital/Thermal,CÔNG TY TNHH JANG TRIM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),In ấn / ...
Nhân Viên Thiết Kế (Phỏng Vấn Đi Làm Ngay),CÔNG TY TNHH CÔNG NGHỆ MỸ THUẬT CHUYỂN ĐỘNG,Thỏa thuận,1 năm,Quảng Ninh,Thiết kế...
Nhân Viên Kinh Doanh,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Marke..., B2B, IT - Phần mềm"
"BrSE (N3, N2)",CÔNG TY CỔ PHẦN CÔNG NGHỆ TDA,Thỏa thuận,2 năm,Đà Nẵng (mới),"Nghỉ thứ ..., IT - Phần mềm"
Business Development Executive,CÔNG TY CỔ PHẦN AGGREGATORI CAPACI,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Thư..., Direct Sales, B2B"
Nhân Viên Thiết Kế,CÔNG TY TNHH KALLE FEUM VIETNAM (KALLE' FEUM ),Thỏa thuận,2 năm,Hà Nội,Thiết kế...
Nhân Viên Thiết Kế,CÔNG TY TNHH ZADEZ VIỆT NAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Thiết kế...
Nhân Viên Kinh Doanh,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Thươn..., B2B, IT - Phần mềm"
Nhân Viên Chăm Sóc Khách Hàng Phần Mềm,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,Online S...
Nhân Viên Thiết Kế 3D,CÔNG TY TNHH ĐẦU TƯ TÍN NHÂN,Thỏa thuận,1 năm,Đắk Lắk (mới),1 năm ki...
Data Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,3 năm,Hà Nội,"Manual Tester, Nghỉ thứ 7"
Manual Tester (BPM),CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,3 năm,Hà Nội,"Manual Tester, Nghỉ thứ 7"
2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ GTA5VN,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Game, Từ 1..."
Nhân Viên Tư Vấn Phần Mềm Website,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Telesales, Market..., B2B"
Trưởng Nhóm Số Hóa Tài Liệu,CÔNG TY CỔ PHẦN CÔNG NGHỆ NHẬT THIÊN,Thỏa thuận,1 năm,Hà Nội,1 năm...
Prepress Executive,CÔNG TY TNHH JANG TRIM,Thỏa thuận,3 năm,Hồ Chí Minh (mới),Illustration
Graphic Designer,CÔNG TY TNHH CHỦ QUÁN CÀ PHÊ,Thỏa thuận,1 năm,Hà Nội,Marketin...
Senior Design/ Senior Art,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ CÔNG NGHỆ DGM,Thỏa thuận,3 năm,Hồ Chí Minh (mới),Marketin...
Full Time Designer POD - Offline,CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI OCEAN HOMES,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ VIPTAM,Thỏa thuận,1 năm,Hà Nội,Marketin...
Nhân Viên Kinh Doanh Dự Án Máy Tính,CÔNG TY TNHH KỸ NGHỆ PHÚC ANH,Thỏa thuận,1 năm,Hà Nội,"Online Sales, Có hỗ ..., B2B"
Art Supervisor,CÔNG TY TNHH HEDIMA,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Nghỉ thứ...
Thiết Kế Đồ Họa (Graphic Design),CÔNG TY TNHH GIÁO DỤC FUZI VIỆT NAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),May mặc ...
Chuyên Viên Thiết Kế,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ BẢO NGỌC,Thỏa thuận,3 năm,Hồ Chí Minh (mới),Thiết kế...
Technical Team Lead,CÔNG TY TNHH BELLE ASIA,Thỏa thuận,Trên 5 năm,Hà Nội,"Tiếng Anh G..., IT - Phần mềm"
Product Owner,CÔNG TY TNHH BELLE ASIA,Thỏa thuận,3 năm,Hà Nội,IT - Phần m...
MES Support Consultant,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,Thỏa thuận,3 năm,Thanh Hóa,IT...
Nhân Viên Thiết Kế,CHI NHÁNH CÔNG TY TNHH TRUYỀN THÔNG MARVEL MEDIA,Thỏa thuận,1 năm,Hồ Chí Minh (mới),1 năm ki...
Leader Nodejs - Đi Làm Ngay,CÔNG TY CỔ PHẦN GIẢI PHÁP MKT,Thỏa thuận,2 năm,Hà Nội,IT - ...
"Thiết Kế / Designer / Mảng Thẩm Mỹ, Spa",CÔNG TY CỔ PHẦN THẨM MỸ BÍCH NGUYỆT,Thỏa thuận,3 năm,Hà Nội,3 năm ki...
IT Manager,CÔNG TY TNHH NANOFILM TECHNOLOGIES VIỆT NAM,Thỏa thuận,5 năm,Hải Phòng (mới),
