Job Title,Company,Salary,Experience,City,Skills
Java Developer ( Junior),CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ ĐỨC VIỆT,Thỏa thuận,1 năm,Hà Nội,"1 năm kinh..., IT - Phần mềm"
IT Support / IT Helpdesk - Quận 9 (Sử Dụng Tiếng Anh Giao Tiếp Và Làm Việc),CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,Thỏa thuận,1 năm,Hồ Chí Minh (mới),
Chuyên Viên Thiết Kế Đồ Họa,CÔNG TY TNHH PAPER ART VIỆT,Thỏa thuận,2 năm,Hồ Chí Minh (mới),2 năm ki...
Nhân Viên Triển Khai Dự Án ERP (Thứ 2 - Thứ 6),CÔNG TY CỔ PHẦN ASOFT,Thỏa thuận,3 năm,Hồ Chí Minh (mới),IT...
Nhân Viên Triển Khai Dự Án ERP (Thứ 2 - Thứ 6),CÔNG TY CỔ PHẦN ASOFT,Thỏa thuận,3 năm,Hồ Chí Minh (mới),IT...
"Kỹ Sư Giải Pháp Điện Toán Đám Mây / Senior Cloud Engineer (OpenStack, VCF, SDN) – Lương Gross Lên Đến 50 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,50 Triệu,3 năm,Hà Nội,"Cloud Engineer, IT - Phần mềm"
Java Engineer,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Designer 2D; 3D,CÔNG TY TNHH TRUYỀN THÔNG SỰ KIỆN WINNER,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thiết kế...
Level Designer (Game/VR) - Job Now,CÔNG TY TNHH SERVICE ONE GLOBAL,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Game, Concept Artist"
Fullstack Developer (NodeJs) - Yêu Cầu Kinh Nghiệm Từ 4 Năm Trở Lên (CoolMate),CÔNG TY TNHH FASTECH ASIA,Thỏa thuận,4 năm,Hà Nội,"Thương mại..., IT - Phần mềm"
Nhân Viên Kinh Doanh Phần Mềm B2B - Thu Nhập Từ 13 - 20 Triệu,CÔNG TY TNHH CÔNG NGHỆ VIHAT,13 - 20 Triệu,Không yêu cầu,Thỏa thuận,"Có hỗ trợ Data, B2B, Nghỉ..."
Junior Dev Fullstack Java Kiêm ReactJS - Thu Nhập Upto 18 Triệu Tại Hà Nội,CÔNG TY TNHH KOBIZO VIỆT NAM,18 Triệu,1 năm,Hà Nội,"1 năm ki..., IT - Phần mềm"
"GUI Designer - Lương Từ 8 - 18tr /Tháng, Làm Từ T2 - T6, Đi Làm Ngay",CÔNG TY TNHH DO&BE VIỆT NAM,8 - 18 Triệu,Không yêu cầu,Thỏa thuận,UI/UX Design
Android Developer,CÔNG TY TNHH LG CNS VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,"T..., Nghỉ thứ 7, IT - Phần mềm"
Lập Trình Viên Fullstack (Fresher/ Junior),CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO H2T,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Tuổi 22 - 28, Không yêu..."
System Engineer Thu Nhập 15M++ - Kỹ Sư Hệ Thống TP. HCM - Kinh Nghiệm Từ 2 Năm,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIẢI PHÁP VIỆT,15 Triệu,2 năm,Hồ Chí Minh (mới),Tiếng A...
